dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,2,0.99028,6.33,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,3,0.99044,6.95,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,4,0.99016,6.47,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,0,0.99098,6.28,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,1,0.9909,6.25,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,2,0.99094,6.93,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,3,0.9913,6.35,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,4,0.9911,7.08,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,0,0.98974,10.55,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,1,0.99054,9.38,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,2,0.98968,11.52,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,3,0.98978,9.23,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,4,0.98992,11.12,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,0,0.9913,9.63,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,1,0.99038,8.8,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,2,0.99064,9.35,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,3,0.9911,10.4,1172041
mnist_rot,equivariant,fourierbn_relu_64,Normbn,True,4,0.99076,9.18,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,0,0.98966,7.08,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,1,0.98958,8.03,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,2,0.98998,7.35,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,3,0.98892,7.47,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,False,4,0.99012,7.8,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,0,0.99016,7.07,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,1,0.99068,7.4,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,2,0.99092,7.57,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,3,0.99068,6.97,1172041
mnist_rot,equivariant,fourierbn_relu_8,Normbn,True,4,0.9905,7.82,1172041
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,0,0.98818,4.47,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,1,0.98824,4.23,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,2,0.98772,4.38,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,3,0.9859,4.23,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,False,4,0.98848,4.52,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,0,0.98926,4.27,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,1,0.98934,4.38,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,2,0.98868,4.23,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,3,0.98974,4.58,1186402
mnist_rot,equivariant,gated_shared_sigmoid,Normbn,True,4,0.98964,4.23,1186402
mnist_rot,equivariant,gated_sigmoid,Normbn,False,0,0.9889,5.17,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,False,1,0.98768,5.0,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,False,2,0.98824,5.17,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,False,3,0.98806,4.97,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,False,4,0.98802,5.18,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,True,0,0.98866,4.9,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,True,1,0.9899,4.97,1206662
mnist_rot,equivariant,gated_sigmoid,Normbn,True,2,0.989,4.98,1206662
