dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,1,0.98944,5.27,1172041,0.0938920155167579
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,2,0.98984,5.03,1172041,0.099859319627285
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,3,0.98934,5.37,1172041,0.0958065763115882
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,4,0.98926,5.02,1172041,0.0937934592366218
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,0,0.99004,5.3,1172041,0.1024485528469085
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,1,0.9905,4.85,1172041,0.1135227158665657
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,2,0.99032,5.13,1172041,0.1164291277527809
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,3,0.98968,4.83,1172041,0.1103247627615928
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,4,0.99064,5.68,1172041,0.1080770343542099
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,0,0.99048,4.22,1172041,0.1114393323659896
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,1,0.99148,4.33,1172041,0.1241791248321533
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,2,0.99116,4.73,1172041,0.1146274656057357
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,3,0.9906,5.13,1172041,0.1082950606942176
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,4,0.99066,4.87,1172041,0.1153295338153839
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,0,0.98954,6.4,1172041,0.1091736331582069
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,1,0.99096,7.12,1172041,0.1191859543323516
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,2,0.99028,6.33,1172041,0.1113076880574226
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,3,0.99044,6.95,1172041,0.1080293878912925
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,4,0.99016,6.47,1172041,0.1127355396747589
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,0,0.99098,6.28,1172041,0.1210720017552375
