dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,2,0.98984,5.03,1172041,0.0979884937405586
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,3,0.98934,5.37,1172041,0.0939018577337265
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,4,0.98926,5.02,1172041,0.0917939841747284
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,0,0.99004,5.3,1172041,0.1003877893090248
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,1,0.9905,4.85,1172041,0.1116191521286964
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,2,0.99032,5.13,1172041,0.1147311255335807
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,3,0.98968,4.83,1172041,0.108790598809719
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,4,0.99064,5.68,1172041,0.1063222363591194
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,0,0.99048,4.22,1172041,0.1098068356513977
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,1,0.99148,4.33,1172041,0.1223304122686386
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,2,0.99116,4.73,1172041,0.1128879413008689
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,3,0.9906,5.13,1172041,0.1065056025981903
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,4,0.99066,4.87,1172041,0.1135203465819358
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,0,0.98954,6.4,1172041,0.1072640940546989
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,1,0.99096,7.12,1172041,0.1173453778028488
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,2,0.99028,6.33,1172041,0.1096082031726837
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,3,0.99044,6.95,1172041,0.1062186062335968
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,4,0.99016,6.47,1172041,0.1108928024768829
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,0,0.99098,6.28,1172041,0.1193780899047851
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,1,0.9909,6.25,1172041,0.1188753023743629
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,2,0.99094,6.93,1172041,0.1178510040044784
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,3,0.9913,6.35,1172041,0.1131125837564468
mnist_rot,equivariant,fourierbn_relu_32,Normbn,True,4,0.9911,7.08,1172041,0.1136020421981811
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,0,0.98974,10.55,1172041,0.1064427495002746
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,1,0.99054,9.38,1172041,0.1089226007461547
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,2,0.98968,11.52,1172041,0.1109429150819778
mnist_rot,equivariant,fourierbn_relu_64,Normbn,False,3,0.98978,9.23,1172041,0.1062292605638504
